time(s),ADRC y best
2.38,1.05749
2.385,1.05724
2.39,1.05698
2.395,1.05671
2.4,1.05645
2.405,1.05617
2.41,1.05589
2.415,1.05561
2.42,1.05532
2.425,1.05503
2.43,1.05474
2.435,1.05444
2.44,1.05413
2.445,1.05382
2.45,1.05351
2.455,1.0532
2.46,1.05288
2.465,1.05255
2.47,1.05223
2.475,1.05189
2.48,1.05156
2.485,1.05122
2.49,1.05088
2.495,1.05054
2.5,1.05019
2.505,1.04984
2.51,1.04948
2.515,1.04913
2.52,1.04877
2.525,1.0484
2.53,1.04804
2.535,1.04767
2.54,1.0473
2.545,1.04693
2.55,1.04655
2.555,1.04617
2.56,1.04579
2.565,1.04541
2.57,1.04502
2.575,1.04464
2.58,1.04425
2.585,1.04385
2.59,1.04346
2.595,1.04306
2.6,1.04267
2.605,1.04227
2.61,1.04187
2.615,1.04146
2.62,1.04106
2.625,1.04065
2.63,1.04025
2.635,1.03984
2.64,1.03943
2.645,1.03902
2.65,1.0386
2.655,1.03819
2.66,1.03778
2.665,1.03736
2.67,1.03694
2.675,1.03653
2.68,1.03611
2.685,1.03569
2.69,1.03527
2.695,1.03485
2.7,1.03443
2.705,1.034
2.71,1.03358
2.715,1.03316
2.72,1.03273
2.725,1.03231
2.73,1.03189
2.735,1.03146
2.74,1.03104
2.745,1.03061
2.75,1.03019
2.755,1.02976
2.76,1.02934
2.765,1.02892
2.77,1.02849
2.775,1.02807
2.78,1.02764
2.785,1.02722
2.79,1.0268
2.795,1.02637
2.8,1.02595
2.805,1.02553
2.81,1.02511
2.815,1.02469
2.82,1.02427
2.825,1.02385
2.83,1.02343
2.835,1.02301
2.84,1.02259
2.845,1.02218
2.85,1.02176
2.855,1.02135
2.86,1.02093
2.865,1.02052
2.87,1.02011
2.875,1.0197
2.88,1.0193
2.885,1.01889
2.89,1.01849
2.895,1.01808
2.9,1.01768
2.905,1.01729
2.91,1.01689
2.915,1.0165
2.92,1.01611
2.925,1.01572
2.93,1.01533
2.935,1.01495
2.94,1.01457
2.945,1.01419
2.95,1.01381
2.955,1.01344
2.96,1.01307
2.965,1.0127
2.97,1.01233
2.975,1.01197
2.98,1.01161
2.985,1.01125
2.99,1.01089
2.995,1.01054
3,1.01019
3.005,1.00984
3.01,1.0095
3.015,1.00915
3.02,1.00881
3.025,1.00848
3.03,1.00814
3.035,1.00781
3.04,1.00749
3.045,1.00716
3.05,1.00684
3.055,1.00652
3.06,1.00621
3.065,1.00589
3.07,1.00558
3.075,1.00528
3.08,1.00497
3.085,1.00467
3.09,1.00438
3.095,1.00408
3.1,1.00379
3.105,1.0035
3.11,1.00322
3.115,1.00294
3.12,1.00266
3.125,1.00239
3.13,1.00211
3.135,1.00184
3.14,1.00158
3.145,1.00132
3.15,1.00106
3.155,1.0008
3.16,1.00055
3.165,1.0003
3.17,1.00005
3.175,0.999808
3.18,0.999568
3.185,0.99933
3.19,0.999097
3.195,0.998866
3.2,0.998638
3.205,0.998414
3.21,0.998193
3.215,0.997975
3.22,0.99776
3.225,0.997548
3.23,0.997339
3.235,0.997134
3.24,0.996931
3.245,0.996732
3.25,0.996536
3.255,0.996343
3.26,0.996153
3.265,0.995966
3.27,0.995782
3.275,0.995602
3.28,0.995424
3.285,0.99525
3.29,0.995078
3.295,0.99491
3.3,0.994744
3.305,0.994582
3.31,0.994422
3.315,0.994266
3.32,0.994112
3.325,0.993962
3.33,0.993814
3.335,0.99367
3.34,0.993528
3.345,0.993389
3.35,0.993253
3.355,0.99312
3.36,0.99299
3.365,0.992863
3.37,0.992738
3.375,0.992616
3.38,0.992498
3.385,0.992381
3.39,0.992268
3.395,0.992158
3.4,0.99205
3.405,0.991945
3.41,0.991842
3.415,0.991742
3.42,0.991645
3.425,0.991551
3.43,0.991459
3.435,0.99137
3.44,0.991283
3.445,0.991199
3.45,0.991117
3.455,0.991038
3.46,0.990962
3.465,0.990888
3.47,0.990816
3.475,0.990747
3.48,0.990681
3.485,0.990616
3.49,0.990554
3.495,0.990495
3.5,0.990438
3.505,0.990383
3.51,0.99033
3.515,0.99028
3.52,0.990232
3.525,0.990186
3.53,0.990143
3.535,0.990102
3.54,0.990063
3.545,0.990026
3.55,0.989991
3.555,0.989958
3.56,0.989927
3.565,0.989899
3.57,0.989872
3.575,0.989848
3.58,0.989825
3.585,0.989805
3.59,0.989786
3.595,0.98977
3.6,0.989755
3.605,0.989742
3.61,0.989731
3.615,0.989722
3.62,0.989715
3.625,0.989709
3.63,0.989706
3.635,0.989704
3.64,0.989703
3.645,0.989705
3.65,0.989708
3.655,0.989713
3.66,0.98972
3.665,0.989728
3.67,0.989737
3.675,0.989749
3.68,0.989762
3.685,0.989776
3.69,0.989792
3.695,0.989809
3.7,0.989828
3.705,0.989849
3.71,0.98987
3.715,0.989893
3.72,0.989918
3.725,0.989944
3.73,0.989971
3.735,0.99
3.74,0.990029
3.745,0.990061
3.75,0.990093
3.755,0.990126
3.76,0.990161
3.765,0.990197
3.77,0.990234
3.775,0.990273
3.78,0.990312
3.785,0.990352
3.79,0.990394
3.795,0.990437
3.8,0.99048
3.805,0.990525
3.81,0.990571
3.815,0.990617
3.82,0.990665
3.825,0.990714
3.83,0.990763
3.835,0.990813
3.84,0.990865
3.845,0.990917
3.85,0.99097
3.855,0.991023
3.86,0.991078
3.865,0.991133
3.87,0.991189
3.875,0.991246
3.88,0.991304
3.885,0.991362
3.89,0.991421
3.895,0.99148
3.9,0.991541
3.905,0.991601
3.91,0.991663
3.915,0.991725
3.92,0.991787
3.925,0.991851
3.93,0.991914
3.935,0.991979
3.94,0.992043
3.945,0.992109
3.95,0.992174
3.955,0.99224
3.96,0.992307
3.965,0.992374
3.97,0.992441
3.975,0.992509
3.98,0.992577
3.985,0.992646
3.99,0.992715
3.995,0.992784
4,0.992853
4.005,0.992923
4.01,0.992993
4.015,0.993063
4.02,0.993134
4.025,0.993204
4.03,0.993275
4.035,0.993347
4.04,0.993418
4.045,0.993489
4.05,0.993561
4.055,0.993633
4.06,0.993705
4.065,0.993777
4.07,0.993849
4.075,0.993921
4.08,0.993994
4.085,0.994066
4.09,0.994139
4.095,0.994211
4.1,0.994284
4.105,0.994356
4.11,0.994429
4.115,0.994501
4.12,0.994574
4.125,0.994646
4.13,0.994719
4.135,0.994791
4.14,0.994863
4.145,0.994935
4.15,0.995007
4.155,0.995079
4.16,0.995151
4.165,0.995223
4.17,0.995295
4.175,0.995366
4.18,0.995438
4.185,0.995509
4.19,0.99558
4.195,0.995651
4.2,0.995721
4.205,0.995792
4.21,0.995862
4.215,0.995932
4.22,0.996002
4.225,0.996071
4.23,0.99614
4.235,0.996209
4.24,0.996278
4.245,0.996347
4.25,0.996415
4.255,0.996483
